ReqType, MatchTime,  MatchPri, OpenPri, HighPri, LowPri, TolMatchQty
1, 110000625000, 10707, 10713, 10749, 10682, 59346
1, 110000625000, 10707, 10713, 10749, 10682, 59346
1, 110000625000, 10707, 10713, 10749, 10682, 59346
1, 110000625000, 10707, 10713, 10749, 10682, 59346
1, 110000625000, 10707, 10713, 10749, 10682, 59346
1, 110001108000, 10707, 10713, 10749, 10682, 59347
1, 110001117000, 10707, 10713, 10749, 10682, 59348
1, 110001144000, 10707, 10713, 10749, 10682, 59354
1, 110001153000, 10707, 10713, 10749, 10682, 59356
1, 110001153000, 10707, 10713, 10749, 10682, 59356
1, 110001182000, 10706, 10713, 10749, 10682, 59357
1, 110001182000, 10706, 10713, 10749, 10682, 59357
1, 110001182000, 10706, 10713, 10749, 10682, 59357
1, 110001182000, 10706, 10713, 10749, 10682, 59357
1, 110001564000, 10706, 10713, 10749, 10682, 59358
1, 110001582000, 10706, 10713, 10749, 10682, 59359
1, 110001596000, 10707, 10713, 10749, 10682, 59360
1, 110001597000, 10706, 10713, 10749, 10682, 59361
1, 110001597000, 10706, 10713, 10749, 10682, 59361
1, 110001748000, 10706, 10713, 10749, 10682, 59369
1, 110001748000, 10706, 10713, 10749, 10682, 59369
1, 110001748000, 10706, 10713, 10749, 10682, 59369
1, 110001986000, 10706, 10713, 10749, 10682, 59371
1, 110001986000, 10706, 10713, 10749, 10682, 59371
1, 110001986000, 10706, 10713, 10749, 10682, 59371
1, 110001986000, 10706, 10713, 10749, 10682, 59371
1, 110001986000, 10706, 10713, 10749, 10682, 59371
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110002540000, 10707, 10713, 10749, 10682, 59374
1, 110003782000, 10707, 10713, 10749, 10682, 59375
1, 110003782000, 10707, 10713, 10749, 10682, 59375
1, 110003782000, 10707, 10713, 10749, 10682, 59375
1, 110003782000, 10707, 10713, 10749, 10682, 59375
1, 110003782000, 10707, 10713, 10749, 10682, 59375
1, 110003782000, 10707, 10713, 10749, 10682, 59375
1, 110003782000, 10707, 10713, 10749, 10682, 59375
1, 110004728000, 10707, 10713, 10749, 10682, 59376
1, 110004736000, 10707, 10713, 10749, 10682, 59394
1, 110004736000, 10707, 10713, 10749, 10682, 59394
1, 110004879000, 10707, 10713, 10749, 10682, 59395
1, 110004879000, 10707, 10713, 10749, 10682, 59395
1, 110004943000, 10707, 10713, 10749, 10682, 59397
1, 110004943000, 10707, 10713, 10749, 10682, 59397
1, 110004943000, 10707, 10713, 10749, 10682, 59397
1, 110005261000, 10706, 10713, 10749, 10682, 59403
1, 110005261000, 10706, 10713, 10749, 10682, 59403
1, 110005305000, 10706, 10713, 10749, 10682, 59452
1, 110005305000, 10706, 10713, 10749, 10682, 59452
1, 110005430000, 10706, 10713, 10749, 10682, 59453
